   2   11   13   15   19
   2   11   13   15   21
   2   11   13   15   22
   2   11   13   15   29
   2   11   13   19   21
   2   11   13   19   22
   2   11   13   19   29
   2   11   13   21   22
   2   11   13   21   29
   2   11   13   22   29
   2   11   15   19   21
   2   11   15   19   22
   2   11   15   19   29
   2   11   15   21   22
   2   11   15   21   29
   2   11   15   22   29
   2   11   19   21   22
   2   11   19   21   29
   2   11   19   22   29
   2   11   21   22   29
   2   13   15   19   21
   2   13   15   19   22
   2   13   15   19   29
   2   13   15   21   22
   2   13   15   21   29
   2   13   15   22   29
   2   13   19   21   22
   2   13   19   21   29
   2   13   19   22   29
   2   13   21   22   29
   2   15   19   21   22
   2   15   19   21   29
   2   15   19   22   29
   2   15   21   22   29
   2   19   21   22   29
  11   13   15   19   21
  11   13   15   19   22
  11   13   15   19   29
  11   13   15   21   22
  11   13   15   21   29
  11   13   15   22   29
  11   13   19   21   22
  11   13   19   21   29
  11   13   19   22   29
  11   13   21   22   29
  11   15   19   21   22
  11   15   19   21   29
  11   15   19   22   29
  11   15   21   22   29
  11   19   21   22   29
  13   15   19   21   22
  13   15   19   21   29
  13   15   19   22   29
  13   15   21   22   29
  13   19   21   22   29
  15   19   21   22   29
